Mesh Type,Mesh size (mm),Mesh Nodes,Max Strain,Max Deformation,Min Safety Factor
Lin,100,3440,0.001005526,54.40278744,7.032501544
Lin,90,4244,0.000993851,47.2749266,7.03937382
Lin,80,4622,0.001305333,52.10661158,5.378918221
Lin,70,5365,0.001753114,57.19827957,4.126769574
Lin,60,6461,0.002205828,68.45142594,3.167115343
Lin,50,9407,0.002168544,69.91036752,3.22156779
Lin,40,14798,0.001789274,70.45418676,3.904439749
Lin,30,26204,0.001811314,70.20440342,3.856930493
Lin,20,57785,0.001573262,69.49622505,4.445303556
