Spar_Outer_Diam,Spar_Inner_Diam,Mesh_Size,AoA,Max_Deformation,Max_Strain,Max_VM_Stress,Min_Safety_Factor,Spar_Thickness,Spar_Mass
200,185,30,5,151.1488301,0.003943312,283.9184631,1.7716354,15,254.9049009
200,186,30,5,129.9991731,0.019802379,1154.93112,0.435523809,14,238.5291921
200,187,30,5,135.1404636,0.020484363,1191.790121,0.422054178,13,222.0652046
200,188,30,5,145.4163547,0.019555391,1241.051189,0.405301574,12,205.5129383
200,189,30,5,152.9465037,0.017989562,1203.861507,0.417822147,11,188.8723933
200,190,30,5,157.3709806,0.019401012,1215.358072,0.413869798,10,172.1435695
200,191,30,5,157.4520945,0.022644558,1387.248325,0.362588291,9,155.3264669
